"","종목코드","종목명","시장구분","산업분류","현재가.종가.","전일대비","시가총액.원.","일자","관리여부","종가","EPS","PER","BPS","PBR","주당배당금","배당수익률","게시물..일련번호","총카운트"
"1","005930","삼성전자","코스피","전기전자",49850,500,297593660117500,"2019-06-07","-",44200,"6,461","6.84","35,342","1.25",1416,3.2,1630,NA
"2","000660","SK하이닉스","코스피","전기전자",82600,1200,60132995349000,"2019-06-07","-",65400,"22,255","2.94","64,348","1.02",1500,2.29,1365,NA
"3","207940","삼성바이오로직스","코스피","의약품",588000,-3000,3.890502e+13,"2019-06-07","-",305500,"3,387","90.2","62,805","4.86",0,0,2157,NA
"4","005935","삼성전자우","코스피","전기전자",42750,250,35178406425000,"2019-06-07","-",36250,"-","-","-","-",1417,3.91,1631,NA
"5","035420","NAVER","코스피","서비스업",197500,5000,32442020512500,"2019-06-07","-",111000,"4,437","25.02","31,795","3.49",314,0.28,1950,NA
"6","068270","셀트리온","코스피","의약품",212500,1000,28625223050000,"2019-06-07","-",196500,"2,063","95.25","19,766","9.94",0,0,2000,NA
"7","051910","LG화학","코스피","화학",353500,0,24954393250500,"2019-06-07","-",330500,"19,217","17.2","218,227","1.51",6000,1.82,1980,NA
"8","051900","LG생활건강","코스피","화학",1395000,-39000,21787384815000,"2019-06-07","-",1295000,"40,740","31.79","198,221","6.53",9250,0.71,1978,NA
"9","005380","현대차","코스피","운수장비",91600,1500,19572005929200,"2019-06-07","-",140000,"5,632","24.86","245,447","0.57",4000,2.86,1604,NA
"10","006400","삼성SDI","코스피","전기전자",279000,2000,19185303870000,"2019-06-07","-",230000,"10,484","21.94","169,560","1.36",1000,0.43,1653,NA
"11","028260","삼성물산","코스피","유통업",99700,1000,18912097287100,"2019-06-07","-",92800,"10,384","8.94","104,259","0.89",2000,2.16,1911,NA
"12","017670","SK텔레콤","코스피","통신업",213000,3500,17198836443000,"2019-06-07","-",255000,"44,066","5.79","278,291","0.92",10000,3.92,1851,NA
"13","035720","카카오","코스피","서비스업",184000,1000,16000120200000,"2019-06-07","-",120000,"623","192.62","61,602","1.95",127,0.11,1952,NA
"14","012330","현대모비스","코스피","운수장비",167500,-1500,15921661245000,"2019-06-07","-",220000,"19,944","11.03","314,650","0.7",4000,1.82,1792,NA
"15","015760","한국전력","코스피","전기가스업",23850,1300,15310843236450,"2019-06-07","-",25700,"-","-","108,641","0.24",0,0,1831,NA
"16","005490","POSCO","코스피","철강금속",174000,1000,15170509290000,"2019-06-07","-",234000,"20,911","11.19","497,452","0.47",10000,4.27,1613,NA
"17","055550","신한지주","코스피","금융업",30000,2850,14472974790000,"2019-06-07","-",44900,"6,579","6.82","75,339","0.6",1600,3.56,1986,NA
"18","105560","KB금융","코스피","금융업",34200,3100,14220630864000,"2019-06-07","-",44300,"7,721","5.74","85,393","0.52",1920,4.33,2093,NA
"19","036570","엔씨소프트","코스피","서비스업",630000,-23000,13831033860000,"2019-06-07","-",459500,"19,831","23.17","107,923","4.26",6050,1.32,1955,NA
"20","091990","셀트리온헬스케어","코스닥","유통",86400,1400,13051837929600,"2019-06-07","-",57300,"80","716.25","11,419","5.02",0,0,758,NA
"21","034730","SK","코스피","금융업",178500,3000,12559313014500,"2019-06-07","-",238000,"40,310","5.9","234,433","1.02",5000,2.1,1944,NA
"22","018260","삼성에스디에스","코스피","서비스업",159000,2000,12303070200000,"2019-06-07","-",207000,"8,137","25.44","77,315","2.68",2000,0.97,1858,NA
"23","000270","기아차","코스피","운수장비",28600,900,11593391724200,"2019-06-07","-",41150,"2,883","14.27","67,208","0.61",900,2.19,1347,NA
"24","033780","KT&G","코스피","기타제조",80400,1500,11038316758800,"2019-06-07","-",101000,"7,141","14.14","58,847","1.72",4000,3.96,1936,NA
"25","003550","LG","코스피","금융업",62300,300,10750309261300,"2019-06-07","-",74300,"10,603","7.01","102,340","0.73",2000,2.69,1525,NA
"26","090430","아모레퍼시픽","코스피","화학",171500,500,10025631035000,"2019-06-07","-",180000,"4,815","37.38","64,072","2.81",1180,0.66,2058,NA
"27","032830","삼성생명","코스피","금융업",49300,2400,9.86e+12,"2019-06-07","-",81400,"9,268","8.78","144,510","0.56",2650,3.26,1929,NA
"28","000810","삼성화재","코스피","금융업",191500,7000,9072281285500,"2019-06-07","-",271500,"25,182","10.78","244,508","1.11",11500,4.24,1371,NA
"29","096770","SK이노베이션","코스피","화학",97600,0,9024639046400,"2019-06-07","-",160500,"18,267","8.79","193,402","0.83",8000,4.98,2075,NA
"30","066570","LG전자","코스피","전기전자",53400,800,8738793267600,"2019-06-07","-",78300,"6,882","11.38","78,820","0.99",750,0.96,1997,NA
"31","009150","삼성전기","코스피","전기전자",111000,3500,8291000256000,"2019-06-07","-",95500,"8,685","11","62,126","1.54",1000,1.05,1712,NA
"32","086790","하나금융지주","코스피","금융업",27050,3900,8121547777100,"2019-06-07","-",37500,"7,360","5.1","88,026","0.43",1900,5.07,2049,NA
"33","010950","S-Oil","코스피","화학",71500,1200,8049669628000,"2019-06-07","-",81700,"2,216","36.87","55,480","1.47",750,0.92,1758,NA
"34","251270","넷마블","코스피","서비스업",92400,1500,7927183479600,"2019-06-07","-",119000,"2,230","53.36","51,303","2.32",0,0,2173,NA
"35","011170","롯데케미칼","코스피","화학",223500,11000,7660556146500,"2019-06-07","-",256000,"46,074","5.56","371,541","0.69",10500,4.1,1767,NA
"36","010130","고려아연","코스피","철강금속",395000,5000,7.45365e+12,"2019-06-07","-",449000,"29,841","15.05","331,214","1.36",11000,2.45,1744,NA
"37","030200","KT","코스피","통신업",23600,450,6162238668800,"2019-06-07","-",28200,"2,809","10.04","50,563","0.56",1100,3.9,1918,NA
"38","316140","우리금융지주","코스피","금융업",8330,480,6016489799390,"2019-06-07","-",13750,"-","-","-","-",NA,NA,2204,NA
"39","032640","LG유플러스","코스피","통신업",13200,450,5763269965200,"2019-06-07","-",14150,"1,103","12.83","15,696","0.9",400,2.83,1928,NA
"40","180640","한진칼","코스피","운수창고업",90500,-2500,5354926449000,"2019-06-07","-",45000,"-","-","24,818","1.81",300,0.67,2144,NA
"41","035250","강원랜드","코스피","서비스업",24700,550,5284330350000,"2019-06-07","-",30850,"1,467","21.03","16,765","1.84",900,2.92,1949,NA
"42","002790","아모레G","코스피","화학",58200,600,4799066076000,"2019-06-07","-",64000,"1,708","37.47","35,082","1.82",310,0.48,1481,NA
"43","271560","오리온","코스피","음식료품",120500,-1000,4764103906000,"2019-06-07","-",83300,"3,538","23.54","35,553","2.34",600,0.72,2182,NA
"44","018880","한온시스템","코스피","기계",8880,120,4.740144e+12,"2019-06-07","-",11550,"520","22.21","3,816","3.03",320,2.77,1862,NA
"45","024110","기업은행","코스피","금융업",7620,420,4397936179980,"2019-06-07","-",13850,"2,531","5.47","31,891","0.43",690,4.98,1889,NA
"46","028300","에이치엘비","코스닥","운송장비·부품",98300,2900,4250075404600,"2019-06-07","-",72500,"678","106.93","4,438","16.34",0,0,161,NA
"47","097950","CJ제일제당","코스피","음식료품",274000,15000,4124846964000,"2019-06-07","-",280000,"55,416","5.05","291,963","0.96",3500,1.25,2078,NA
"48","034220","LG디스플레이","코스피","전기전자",10850,300,3882300345000,"2019-06-07","-",16650,"-","-","39,068","0.43",0,0,1940,NA
"49","267250","현대중공업지주","코스피","화학",232500,3500,3786638452500,"2019-06-07","-",309500,"18,371","16.85","474,469","0.65",18500,5.98,2176,NA
"50","000720","현대건설","코스피","건설업",33900,900,3774960433500,"2019-06-07","-",52000,"3,424","15.19","56,293","0.92",500,0.96,1369,NA
"51","086280","현대글로비스","코스피","운수창고업",98300,0,3.68625e+12,"2019-06-07","-",161000,"11,663","13.8","113,605","1.42",3300,2.05,2048,NA
"52","006800","미래에셋대우","코스피","금융업",5380,230,3541742275040,"2019-06-07","-",7600,"660","11.52","10,233","0.74",220,2.89,1660,NA
"53","078930","GS","코스피","금융업",38100,600,3540075901800,"2019-06-07","-",50600,"9,539","5.3","89,656","0.56",1900,3.75,2027,NA
"54","000120","CJ대한통운","코스피","운수창고업",150000,4000,3421851600000,"2019-06-07","-",156000,"1,996","78.16","116,702","1.34",0,0,1333,NA
"55","029780","삼성카드","코스피","금융업",28900,1100,3348321949900,"2019-06-07","-",37300,"3,178","11.74","58,444","0.64",1600,4.29,1916,NA
"56","139480","이마트","코스피","유통업",119500,11000,3331160370500,"2019-06-07","-",146000,"15,668","9.32","293,169","0.5",2000,1.37,2129,NA
"57","011070","LG이노텍","코스피","전기전자",136000,10000,3218726552000,"2019-06-07","-",94200,"6,892","13.67","89,501","1.05",300,0.32,1762,NA
"58","005830","DB손해보험","코스피","금융업",45100,2600,3.19308e+12,"2019-06-07","-",60500,"8,413","7.19","72,003","0.84",2000,3.31,1626,NA
"59","003670","포스코케미칼","코스피","비금속광물",52000,200,3171387440000,"2019-06-07","-",57400,"2,237","25.66","12,690","4.52",400,0.7,1533,NA
"60","012750","에스원","코스피","서비스업",83300,-100,3165331527400,"2019-06-07","-",96600,"3,046","31.71","33,219","2.91",2500,2.59,1799,NA
"61","000100","유한양행","코스피","의약품",46750,-200,3125555867500,"2019-06-07","-",247500,"4,838","51.16","126,224","1.96",2000,0.81,1331,NA
"62","008770","호텔신라","코스피","유통업",78200,1300,3069203062200,"2019-06-07","-",93500,"2,913","32.1","19,110","4.89",350,0.37,1705,NA
"63","128940","한미약품","코스피","의약품",255000,1000,3019972395000,"2019-06-07","-",407500,"2,160","188.66","60,603","6.72",500,0.12,2117,NA
"64","004990","롯데지주","코스피","금융업",28700,2200,3010895101900,"2019-06-07","-",42700,"2,713","15.74","67,169","0.64",800,1.87,1589,NA
"65","000210","대림산업","코스피","건설업",81500,100,2.8362e+12,"2019-06-07","-",117500,"16,741","7.02","139,638","0.84",1700,1.45,1340,NA
"66","007070","GS리테일","코스피","유통업",36500,5200,2.8105e+12,"2019-06-07","-",35000,"1,566","22.35","27,116","1.29",650,1.86,1667,NA
"67","282330","BGF리테일","코스피","유통업",158500,10000,2739499101000,"2019-06-07","-",187500,"8,925","21.01","30,182","6.21",2680,1.43,2188,NA
"68","023530","롯데쇼핑","코스피","유통업",96600,11900,2732693733000,"2019-06-07","-",159000,"-","-","413,783","0.38",5200,3.27,1882,NA
"69","071050","한국금융지주","코스피","금융업",47500,1500,2646984620000,"2019-06-07","-",74500,"9,062","8.22","70,093","1.06",1800,2.42,2010,NA
"70","012510","더존비즈온","코스피","서비스업",88700,-800,2631968490000,"2019-06-07","-",66200,"1,441","45.94","6,046","10.95",450,0.68,1794,NA
"71","010140","삼성중공업","코스피","운수장비",4175,5,2.63025e+12,"2019-06-07","-",7780,"-","-","10,694","0.73",0,0,1745,NA
"72","263750","펄어비스","코스닥","IT S/W & SVC",200700,-400,2625125895000,"2019-06-07","-",202300,"12,498","16.19","31,525","6.42",0,0,1243,NA
"73","004020","현대제철","코스피","철강금속",19500,600,2602192807500,"2019-06-07","-",40100,"3,037","13.2","125,115","0.32",750,1.87,1544,NA
"74","161390","한국타이어앤테크놀로지","코스피","화학",21000,350,2601376449000,"2019-06-07","-",35750,"4,216","8.48","54,616","0.65",450,1.26,2139,NA
"75","003410","쌍용양회","코스피","비금속광물",5160,-50,2599915510200,"2019-06-07","-",6080,"289","21.04","3,828","1.59",370,6.09,1510,NA
"76","068760","셀트리온제약","코스닥","제약",72600,200,2598768618600,"2019-06-07","-",51500,"-","-","7,927","6.5",0,0,602,NA
"77","035760","CJ ENM","코스닥","통신방송서비스",117700,7000,2581061425800,"2019-06-07","-",189000,"12,661","14.93","126,022","1.5",1200,0.63,225,NA
"78","016360","삼성증권","코스피","금융업",28350,1050,2.531655e+12,"2019-06-07","-",35000,"3,741","9.36","52,207","0.67",1400,4,1835,NA
"79","005940","NH투자증권","코스피","금융업",8990,310,2529865894130,"2019-06-07","-",13900,"1,203","11.55","16,810","0.83",500,3.6,1632,NA
"80","096530","씨젠","코스닥","제약",96000,6500,2518465920000,"2019-06-07","-",28700,"378","75.93","5,245","5.47",0,0,794,NA
"81","004170","신세계","코스피","유통업",255500,12000,2515443745500,"2019-06-07","-",293500,"23,415","12.53","352,367","0.83",2000,0.68,1552,NA
"82","047810","한국항공우주","코스피","운수장비",25600,150,2495362739200,"2019-06-07","-",34450,"587","58.69","10,356","3.33",200,0.58,1973,NA
"83","036460","한국가스공사","코스피","전기가스업",26950,700,2487835350000,"2019-06-07","-",41400,"5,766","7.18","88,750","0.47",1360,3.29,1953,NA
"84","032500","케이엠더블유","코스닥","IT H/W",61900,200,2464912657700,"2019-06-07","-",41200,"-","-","2,292","17.98",0,0,182,NA
"85","001040","CJ","코스피","금융업",82300,10600,2401266935400,"2019-06-07","-",101000,"9,180","11","121,743","0.83",1450,1.44,1384,NA
"86","011780","금호석유","코스피","화학",76300,5500,2324684823300,"2019-06-07","-",93900,"17,597","5.34","70,088","1.34",1350,1.44,1780,NA
"87","001450","현대해상","코스피","금융업",25950,550,2.31993e+12,"2019-06-07","-",29850,"4,607","6.48","46,212","0.65",1130,3.79,1408,NA
"88","241560","두산밥캣","코스피","기계",22750,150,2280668526500,"2019-06-07","-",33250,"2,641","12.59","37,303","0.89",900,2.71,2169,NA
"89","000080","하이트진로","코스피","음식료품",31800,650,2230248829800,"2019-06-07","-",21400,"319","67.08","16,301","1.31",800,3.74,1329,NA
"90","253450","스튜디오드래곤","코스닥","오락·문화",77700,-600,2183087949000,"2019-06-07","-",73600,"1,278","57.59","14,305","5.15",0,0,1217,NA
"91","028050","삼성엔지니어링","코스피","서비스업",11100,200,2.1756e+12,"2019-06-07","-",15850,"350","45.29","5,383","2.94",0,0,1909,NA
"92","005387","현대차2우B","코스피","운수장비",58200,700,2123453248200,"2019-06-07","-",87200,"-","-","-","-",4100,4.7,1606,NA
"93","007310","오뚜기","코스피","음식료품",552000,13000,1990090824000,"2019-06-07","-",694000,"48,677","14.26","335,073","2.07",7500,1.08,1673,NA
"94","030000","제일기획","코스피","서비스업",17200,100,1978709070000,"2019-06-07","-",27450,"1,281","21.43","7,672","3.58",770,2.81,1917,NA
"95","006360","GS건설","코스피","건설업",24500,400,1962396198000,"2019-06-07","-",40550,"7,788","5.21","44,671","0.91",1000,2.47,1649,NA
"96","003490","대한항공","코스피","운수창고업",19900,100,1887408216600,"2019-06-07","-",32500,"-","-","30,313","1.07",250,0.77,1517,NA
"97","011790","SKC","코스피","화학",50200,550,1884234661000,"2019-06-07","-",31300,"3,404","9.2","40,835","0.77",1000,3.19,1782,NA
"98","042660","대우조선해양","코스피","운수장비",17450,-250,1870740372400,"2019-06-07","-",29400,"2,998","9.81","35,821","0.82",0,0,1964,NA
"99","028670","팬오션","코스피","운수창고업",3485,115,1862973686395,"2019-06-07","-",4320,"285","15.16","4,946","0.87",0,0,1913,NA
"100","004370","농심","코스피","음식료품",304000,-1000,1849123168000,"2019-06-07","-",242500,"14,577","16.64","309,918","0.78",4000,1.65,1560,NA
"101","008930","한미사이언스","코스피","금융업",27900,450,1841711057100,"2019-06-07","-",67500,"285","236.84","10,100","6.68",200,0.3,1708,NA
"102","020150","일진머티리얼즈","코스피","전기전자",39650,500,1828294607750,"2019-06-07","-",36950,"897","41.19","11,460","3.22",0,0,1872,NA
"103","006280","녹십자","코스피","의약품",151000,0,1764667238000,"2019-06-07","-",120000,"3,017","39.77","90,669","1.32",1000,0.83,1646,NA
"104","095700","제넥신","코스닥","기타서비스",73700,8000,1752913743900,"2019-06-07","-",66000,"-","-","14,152","4.66",0,0,789,NA
"105","009240","한샘","코스피","유통업",73700,3600,1734450493600,"2019-06-07","-",83300,"5,103","16.32","24,407","3.41",1200,1.44,1718,NA
