"","시장구분","종목코드","종목명","산업분류","현재가(종가)","전일대비","시가총액(원)"
"1","코스피","030720","동원수산","어업",8700,160,40488103500
"2","코스피","007160","사조산업","어업",32500,2750,1.625e+11
"3","코스피","006040","동원산업","어업",228000,10000,838502148000
"4","코스피","004970","신라교역","어업",9690,220,1.5504e+11
"5","코스피","012320","경동인베스트","광업",27600,50,65274634800
"6","코스피","003580","넥스트사이언스","광업",6980,30,221424425060
"7","코스피","017810","풀무원","음식료품",12600,100,479945970000
"8","코스피","280360","롯데제과","음식료품",121500,4000,779631115500
"9","코스피","271560","오리온","음식료품",120500,-1000,4764103906000
"10","코스피","006090","사조오양","음식료품",8210,430,77360687190
"11","코스피","26490K","크라운제과우","음식료품",6310,80,4881163600
"12","코스피","264900","크라운제과","음식료품",7670,140,96057929500
"13","코스피","248170","샘표식품","음식료품",29000,550,132480294000
"14","코스피","101530","해태제과식품","음식료품",7010,40,204108922220
"15","코스피","014710","사조씨푸드","음식료품",4015,115,69132450145
"16","코스피","145995","삼양사우","음식료품",26650,500,9862365500
"17","코스피","145990","삼양사","음식료품",39500,2800,407381235500
"18","코스피","000087","하이트진로2우B","음식료품",15850,250,17912687300
"19","코스피","136490","선진","음식료품",8260,160,196419529040
"20","코스피","033920","무학","음식료품",6230,320,1.77555e+11
"21","코스피","000080","하이트진로","음식료품",31800,650,2230248829800
"22","코스피","011155","CJ씨푸드1우","음식료품",33750,650,6.75e+09
"23","코스피","011150","CJ씨푸드","음식료품",4210,200,151268554330
"24","코스피","097955","CJ제일제당 우","음식료품",113500,6000,150663645500
"25","코스피","097950","CJ제일제당","음식료품",274000,15000,4124846964000
"26","코스피","027740","마니커","음식료품",836,21,132483088584
"27","코스피","002600","조흥","음식료품",144000,6000,8.64e+10
"28","코스피","049770","동원F&B","음식료품",204000,13000,787261296000
"29","코스피","036580","팜스코","음식료품",4455,-25,163622986065
"30","코스피","023150","MH에탄올","음식료품",9180,60,67734868680
"31","코스피","008040","사조동아원","음식료품",913,3,128865019800
"32","코스피","007310","오뚜기","음식료품",552000,13000,1990090824000
